cross,fert,dir,genet,night
U24-U24,2.702702703,self,U24,Night 2
U24-U24,0,self,U24,Night 2
U24-U24,0,self,U24,Night 2
U24-U94,86.79245283,sperm,U24,Night 2
U24-U94,83.33333333,sperm,U24,Night 2
U24-U94,68.33333333,sperm,U24,Night 2
U24-M13,69.64285714,sperm,U24,Night 2
U24-M13,60.60606061,sperm,U24,Night 2
U24-M13,90.625,sperm,U24,Night 2
U24-U50,66.66666667,sperm,U24,Night 2
U24-U50,78.57142857,sperm,U24,Night 2
U24-U50,70.58823529,sperm,U24,Night 2
U24-U32,55.73770492,sperm,U24,Night 2
U24-U32,62.5,sperm,U24,Night 2
U24-U32,70.90909091,sperm,U24,Night 2
U24-U12,44.61538462,sperm,U24,Night 2
U24-U12,36.61971831,sperm,U24,Night 2
U24-U12,31.25,sperm,U24,Night 2
U24-U16,63.93442623,sperm,U24,Night 2
U24-U16,81.08108108,sperm,U24,Night 2
U24-U16,89.18918919,sperm,U24,Night 2
U24-U4,41.26984127,sperm,U24,Night 2
U24-U4,70.76923077,sperm,U24,Night 2
U24-U4,50.87719298,sperm,U24,Night 2
U94-U94,1.666666667,self,U94,Night 2
U94-U94,0,self,U94,Night 2
U94-U94,2.127659574,self,U94,Night 2
U94-U24,38.29787234,sperm,U94,Night 2
U94-U24,17.64705882,sperm,U94,Night 2
U94-U24,15.25423729,sperm,U94,Night 2
U94-M13,63.15789474,sperm,U94,Night 2
U94-M13,58,sperm,U94,Night 2
U94-M13,43.58974359,sperm,U94,Night 2
U94-U50,86.66666667,sperm,U94,Night 2
U94-U50,79.66101695,sperm,U94,Night 2
U94-U50,69.35483871,sperm,U94,Night 2
U94-U32,7.594936709,sperm,U94,Night 2
U94-U32,1.639344262,sperm,U94,Night 2
U94-U32,4.6875,sperm,U94,Night 2
U94-U12,12.72727273,sperm,U94,Night 2
U94-U12,16.92307692,sperm,U94,Night 2
U94-U12,28.33333333,sperm,U94,Night 2
U94-U16,61.53846154,sperm,U94,Night 2
U94-U16,68.18181818,sperm,U94,Night 2
U94-U16,69.23076923,sperm,U94,Night 2
U94-U4,78.57142857,sperm,U94,Night 2
U94-U4,89.79591837,sperm,U94,Night 2
U94-U4,85,sperm,U94,Night 2
M13-M13,24.52830189,self,M13,Night 2
M13-M13,22.58064516,self,M13,Night 2
M13-M13,51.72413793,self,M13,Night 2
M13-U24,56.33802817,sperm,M13,Night 2
M13-U24,66.66666667,sperm,M13,Night 2
M13-U24,80.76923077,sperm,M13,Night 2
M13-U94,91.42857143,sperm,M13,Night 2
M13-U94,78.57142857,sperm,M13,Night 2
M13-U94,70,sperm,M13,Night 2
M13-U50,83.33333333,sperm,M13,Night 2
M13-U50,78.08219178,sperm,M13,Night 2
M13-U50,86.2745098,sperm,M13,Night 2
M13-U32,43.75,sperm,M13,Night 2
M13-U32,77.92207792,sperm,M13,Night 2
M13-U32,61.66666667,sperm,M13,Night 2
M13-U12,48.38709677,sperm,M13,Night 2
M13-U12,52.85714286,sperm,M13,Night 2
