cross,fert,dir,genet,night
U4-M13,86,ova,M13,Night 2
U4-M13,84.21052632,ova,M13,Night 2
U4-M13,86.66666667,ova,M13,Night 2
U50-U50,0,self,U50,Night 2
U50-U50,3.703703704,self,U50,Night 2
U50-U50,1.5625,self,U50,Night 2
U24-U50,66.66666667,ova,U50,Night 2
U24-U50,78.57142857,ova,U50,Night 2
U24-U50,70.58823529,ova,U50,Night 2
U94-U50,86.66666667,ova,U50,Night 2
U94-U50,79.66101695,ova,U50,Night 2
U94-U50,69.35483871,ova,U50,Night 2
M13-U50,83.33333333,ova,U50,Night 2
M13-U50,78.08219178,ova,U50,Night 2
M13-U50,86.2745098,ova,U50,Night 2
U32-U50,88.46153846,ova,U50,Night 2
U32-U50,77.55102041,ova,U50,Night 2
U32-U50,80,ova,U50,Night 2
U12-U50,80,ova,U50,Night 2
U12-U50,77.27272727,ova,U50,Night 2
U12-U50,74.54545455,ova,U50,Night 2
U16-U50,76.92307692,ova,U50,Night 2
U16-U50,49.27536232,ova,U50,Night 2
U16-U50,80.39215686,ova,U50,Night 2
U4-U50,82.14285714,ova,U50,Night 2
U4-U50,61.2244898,ova,U50,Night 2
U4-U50,86.20689655,ova,U50,Night 2
U32-U32,0,self,U32,Night 2
U32-U32,0,self,U32,Night 2
U32-U32,0,self,U32,Night 2
U24-U32,55.73770492,ova,U32,Night 2
U24-U32,62.5,ova,U32,Night 2
U24-U32,70.90909091,ova,U32,Night 2
U94-U32,7.594936709,ova,U32,Night 2
U94-U32,1.639344262,ova,U32,Night 2
U94-U32,4.6875,ova,U32,Night 2
M13-U32,43.75,ova,U32,Night 2
M13-U32,77.92207792,ova,U32,Night 2
M13-U32,61.66666667,ova,U32,Night 2
U50-U32,35.61643836,ova,U32,Night 2
U50-U32,50.56179775,ova,U32,Night 2
U50-U32,29.50819672,ova,U32,Night 2
U12-U32,60.97560976,ova,U32,Night 2
U12-U32,81.69014085,ova,U32,Night 2
U12-U32,65.27777778,ova,U32,Night 2
U16-U32,54.6875,ova,U32,Night 2
U16-U32,52.05479452,ova,U32,Night 2
U16-U32,55.29411765,ova,U32,Night 2
U4-U32,36.47058824,ova,U32,Night 2
U4-U32,46.42857143,ova,U32,Night 2
U4-U32,55.55555556,ova,U32,Night 2
U12-U12,18.05555556,self,U12,Night 2
U12-U12,12.5,self,U12,Night 2
U12-U12,17.1875,self,U12,Night 2
U24-U12,44.61538462,ova,U12,Night 2
U24-U12,36.61971831,ova,U12,Night 2
U24-U12,31.25,ova,U12,Night 2
U94-U12,12.72727273,ova,U12,Night 2
U94-U12,16.92307692,ova,U12,Night 2
U94-U12,28.33333333,ova,U12,Night 2
M13-U12,48.38709677,ova,U12,Night 2
M13-U12,52.85714286,ova,U12,Night 2
M13-U12,43.24324324,ova,U12,Night 2
U50-U12,12.85714286,ova,U12,Night 2
U50-U12,24.35897436,ova,U12,Night 2
U50-U12,19.40298507,ova,U12,Night 2
U32-U12,77.14285714,ova,U12,Night 2
U32-U12,71.21212121,ova,U12,Night 2
U32-U12,61.29032258,ova,U12,Night 2
U16-U12,55.29411765,ova,U12,Night 2
U16-U12,37.5,ova,U12,Night 2
U16-U12,33.78378378,ova,U12,Night 2
U4-U12,7.042253521,ova,U12,Night 2
U4-U12,7.246376812,ova,U12,Night 2
U4-U12,7.462686567,ova,U12,Night 2
U16-U16,3.03030303,self,U16,Night 2
U16-U16,0,self,U16,Night 2
U16-U16,0,self,U16,Night 2
U24-U16,63.93442623,ova,U16,Night 2
U24-U16,81.08108108,ova,U16,Night 2
U24-U16,89.18918919,ova,U16,Night 2
U94-U16,61.53846154,ova,U16,Night 2
U94-U16,68.18181818,ova,U16,Night 2
U94-U16,69.23076923,ova,U16,Night 2
M13-U16,78.26086957,ova,U16,Night 2
M13-U16,81.37254902,ova,U16,Night 2
M13-U16,78.57142857,ova,U16,Night 2
U50-U16,28.57142857,ova,U16,Night 2
U50-U16,55.10204082,ova,U16,Night 2
U50-U16,38.29787234,ova,U16,Night 2
U32-U16,88.0952381,ova,U16,Night 2
U32-U16,88.37209302,ova,U16,Night 2
U32-U16,91.17647059,ova,U16,Night 2
U12-U16,75,ova,U16,Night 2
U12-U16,88.57142857,ova,U16,Night 2
U12-U16,90,ova,U16,Night 2
U4-U16,41.81818182,ova,U16,Night 2
U4-U16,47.36842105,ova,U16,Night 2
U4-U16,55.55555556,ova,U16,Night 2
U4-U4,2.43902439,self,U4,Night 2
U4-U4,1.886792453,self,U4,Night 2
U4-U4,0,self,U4,Night 2
U24-U4,41.26984127,ova,U4,Night 2
U24-U4,70.76923077,ova,U4,Night 2
U24-U4,50.87719298,ova,U4,Night 2
U94-U4,78.57142857,ova,U4,Night 2
U94-U4,89.79591837,ova,U4,Night 2
U94-U4,85,ova,U4,Night 2
M13-U4,73.91304348,ova,U4,Night 2
M13-U4,84.09090909,ova,U4,Night 2
M13-U4,66.66666667,ova,U4,Night 2
U50-U4,47.61904762,ova,U4,Night 2
U50-U4,38.29787234,ova,U4,Night 2
U50-U4,42.10526316,ova,U4,Night 2
U32-U4,86.20689655,ova,U4,Night 2
U32-U4,75.38461538,ova,U4,Night 2
U32-U4,64.1509434,ova,U4,Night 2
U12-U4,3.278688525,ova,U4,Night 2
U12-U4,3.50877193,ova,U4,Night 2
U12-U4,11.76470588,ova,U4,Night 2
U16-U4,84,ova,U4,Night 2
U16-U4,77.27272727,ova,U4,Night 2
U16-U4,81.03448276,ova,U4,Night 2
