cross,fert,dir
B8-U38,100,sperm
B8-U38,100,sperm
B8-U38,95.12195122,sperm
B8-U50,68.18181818,sperm
B8-U50,82.22222222,sperm
B8-U50,64.51612903,sperm
B8-U94,76.19047619,sperm
B8-U94,90.14084507,sperm
B8-U94,84.72222222,sperm
U38-B8,81.03448276,ova
U38-B8,87.5,ova
U38-B8,68.85245902,ova
U50-B8,85.71428571,ova
U50-B8,84.90566038,ova
U50-B8,90.90909091,ova
U94-B8,96.49122807,ova
U94-B8,95.45454545,ova
U94-B8,74.46808511,ova
