cross,fert,dir
U50-B8,85.71428571,sperm
U50-B8,84.90566038,sperm
U50-B8,90.90909091,sperm
U50-U38,98.03921569,sperm
U50-U38,97.14285714,sperm
U50-U38,94.28571429,sperm
U50-U94,43.75,sperm
U50-U94,36.92307692,sperm
U50-U94,31.74603175,sperm
B8-U50,68.18181818,ova
B8-U50,82.22222222,ova
B8-U50,64.51612903,ova
U38-U50,52.5,ova
U38-U50,72.22222222,ova
U38-U50,67.64705882,ova
U94-U50,64.70588235,ova
U94-U50,78.37837838,ova
U94-U50,53.125,ova
