cross,fert,dir
U38-B8,81.03448276,sperm
U38-B8,87.5,sperm
U38-B8,68.85245902,sperm
U38-U50,52.5,sperm
U38-U50,72.22222222,sperm
U38-U50,67.64705882,sperm
U38-U94,40,sperm
U38-U94,53.125,sperm
U38-U94,58.06451613,sperm
B8-U38,100,ova
B8-U38,100,ova
B8-U38,95.12195122,ova
U50-U38,98.03921569,ova
U50-U38,97.14285714,ova
U50-U38,94.28571429,ova
U94-U38,90.625,ova
U94-U38,83.87096774,ova
U94-U38,96.96969697,ova
